timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date,label
5260,-114,-1469,9030,-305,83,-601,3/3/2022 11:21,1
5261,-129,-985,9724,-44,99,-899,3/3/2022 11:21,1
5262,-315,-646,10088,-219,279,-1023,3/3/2022 11:21,1
5263,-248,985,9298,-5,291,-1148,3/3/2022 11:21,1
5264,-521,1048,10581,-134,346,-1076,3/3/2022 11:21,1
5265,-569,942,9585,-41,117,-921,3/3/2022 11:21,1
5266,-861,1469,10638,31,152,-850,3/3/2022 11:21,1
5267,-818,1205,9422,78,-125,-776,3/3/2022 11:21,1
5268,-287,1651,9820,118,14,-803,3/3/2022 11:21,1
5269,66,2057,9738,73,-152,-727,3/3/2022 11:21,1
5270,904,2287,9489,95,-153,-596,3/3/2022 11:21,1
5271,1579,2876,9772,147,-210,-428,3/3/2022 11:21,1
5272,2550,3488,9901,32,-96,-296,3/3/2022 11:21,1
5273,3192,4063,10049,-31,-141,72,3/3/2022 11:21,1
5274,2469,2947,9686,-77,-149,557,3/3/2022 11:21,2
5275,1440,1962,9533,-24,-60,753,3/3/2022 11:21,2
5276,894,1316,10255,-72,-31,686,3/3/2022 11:21,2
5277,1186,1148,9456,-99,-59,719,3/3/2022 11:21,2
5278,1095,693,9839,-56,-6,765,3/3/2022 11:21,2
5279,875,196,9327,-119,-64,807,3/3/2022 11:21,2
5280,646,-239,9451,-55,-2,851,3/3/2022 11:21,2
5281,378,-689,9547,1,-37,758,3/3/2022 11:21,2
5282,157,-851,9762,26,30,732,3/3/2022 11:21,2
5283,133,-990,10073,28,-15,713,3/3/2022 11:21,2
5284,90,-1325,9887,-5,-16,703,3/3/2022 11:21,2
5285,-378,-1823,10159,68,-75,629,3/3/2022 11:21,2
5286,-358,-1684,9911,56,-45,482,3/3/2022 11:21,2
5287,-492,-1770,10131,40,-40,395,3/3/2022 11:21,2
5288,-894,-2316,9930,67,-198,355,3/3/2022 11:21,3
5289,-1153,-2770,9480,105,-195,135,3/3/2022 11:21,3
5290,-770,-2483,9509,31,-32,-407,3/3/2022 11:21,3
5291,-277,-1852,9193,61,-10,-674,3/3/2022 11:21,3
5292,-368,-1177,9451,115,119,-841,3/3/2022 11:21,3
5293,-129,-320,9877,21,107,-1110,3/3/2022 11:21,3
5294,-497,239,9480,-88,251,-1161,3/3/2022 11:21,3
5295,-354,1186,10250,91,109,-1213,3/3/2022 11:21,3
5296,224,1655,10011,-40,65,-1122,3/3/2022 11:21,3
5297,-483,1488,9882,200,-201,-944,3/3/2022 11:21,3
5298,550,2488,9456,196,-148,-1025,3/3/2022 11:21,3
5299,823,2598,9781,75,-41,-1005,3/3/2022 11:21,3
5300,1598,3617,10088,148,-157,-822,3/3/2022 11:21,3
5301,2167,3555,9686,79,-248,-550,3/3/2022 11:21,3
5302,2742,3680,9686,9,-125,-416,3/3/2022 11:21,3
5303,2919,3637,9844,-41,-121,-251,3/3/2022 11:21,3
5304,3306,3512,9303,-153,-39,109,3/3/2022 11:21,1
5305,2828,3383,9676,-116,65,365,3/3/2022 11:21,1
5306,2009,2344,9868,-107,-68,579,3/3/2022 11:21,1
5307,2402,2076,8489,-188,-83,551,3/3/2022 11:21,1
5308,2522,1354,8245,-162,70,620,3/3/2022 11:21,1
5309,1033,1521,10064,164,103,763,3/3/2022 11:21,1
5310,1488,1866,9389,4,73,802,3/3/2022 11:21,1
5311,818,2282,10298,93,22,933,3/3/2022 11:21,1
5312,1071,1895,9729,67,-11,1060,3/3/2022 11:21,1
5313,880,1986,9958,111,52,1136,3/3/2022 11:21,1
5314,497,1081,10528,78,13,1284,3/3/2022 11:21,1
5315,196,971,10088,72,20,1322,3/3/2022 11:21,1
5316,-244,-397,10217,34,27,1308,3/3/2022 11:21,1
5317,-1091,-1402,10624,90,0,1215,3/3/2022 11:21,1
5318,-1325,-2292,10284,33,-99,842,3/3/2022 11:21,2
5319,-1435,-2699,10016,3,-40,507,3/3/2022 11:21,2
5320,-952,-2842,9647,-35,-78,165,3/3/2022 11:21,2
5321,-1301,-2134,9375,31,69,-360,3/3/2022 11:21,2
5322,-1205,-2201,9820,73,-14,-550,3/3/2022 11:21,2
5323,-713,-1182,9580,49,83,-924,3/3/2022 11:21,2
5324,-1478,-478,10131,9,143,-999,3/3/2022 11:21,2
5325,-1182,-502,10250,130,-22,-1136,3/3/2022 11:21,2
5326,-186,430,9561,-75,101,-1424,3/3/2022 11:21,2
5327,224,1071,9915,-67,287,-1627,3/3/2022 11:21,2
5328,-9,2349,10298,-79,324,-1394,3/3/2022 11:21,2
5329,-459,2316,10303,129,54,-1169,3/3/2022 11:21,2
5330,-344,2258,9542,134,-165,-1075,3/3/2022 11:21,2
5331,961,3048,8528,469,-158,-881,3/3/2022 11:21,2
5332,1799,4158,9853,477,-274,-786,3/3/2022 11:21,3
5333,2804,5178,9145,188,-210,-565,3/3/2022 11:21,3
5334,2857,4910,10576,309,-74,-338,3/3/2022 11:21,3
5335,3842,6111,10078,-279,8,60,3/3/2022 11:21,3
5336,2689,4761,9925,-55,19,586,3/3/2022 11:21,3
5337,2091,4943,10097,-96,67,823,3/3/2022 11:21,3
5338,1411,3359,9413,-202,-135,1084,3/3/2022 11:21,3
5339,1258,2383,8618,-194,-110,1207,3/3/2022 11:21,3
5340,937,1354,9016,-57,43,1167,3/3/2022 11:21,3
5341,435,985,9848,-3,77,1144,3/3/2022 11:21,3
5342,258,282,9934,27,25,1090,3/3/2022 11:21,3
5343,186,-153,9657,-3,52,963,3/3/2022 11:21,3
5344,-57,-315,10188,11,160,876,3/3/2022 11:21,3
5345,-655,-990,10619,30,-26,889,3/3/2022 11:21,3
5346,-617,-1359,10432,-21,-51,798,3/3/2022 11:21,3
5347,-1024,-2311,10040,-68,-51,577,3/3/2022 11:21,3
5348,-1545,-2641,9767,-37,-120,367,3/3/2022 11:21,
5349,-1306,-2952,9600,44,-200,-91,3/3/2022 11:21,
5350,330,-1909,9260,-3,-104,-676,3/3/2022 11:21,
5351,961,-277,9422,-16,34,-784,3/3/2022 11:21,
5352,-378,-847,10887,79,37,-629,3/3/2022 11:21,
5353,488,-401,10289,27,-176,-811,3/3/2022 11:21,
5354,521,-583,9178,-89,-47,-1091,3/3/2022 11:21,
5355,693,148,9585,-10,193,-1370,3/3/2022 11:21,
5356,516,1416,9341,-253,256,-1539,3/3/2022 11:21,
5357,861,2507,9542,42,166,-1446,3/3/2022 11:21,
5358,1033,3512,10255,104,80,-1244,3/3/2022 11:21,
5359,1741,3115,9829,224,-258,-845,3/3/2022 11:21,
5360,2273,3579,9513,131,-59,-635,3/3/2022 11:21,
5361,3168,4115,9939,9,-101,-395,3/3/2022 11:21,
5362,3550,3991,9480,-138,-83,-142,3/3/2022 11:21,
5363,3651,4005,9312,-138,-35,63,3/3/2022 11:21,
5364,2919,3134,9480,-102,44,363,3/3/2022 11:21,
5365,2550,3086,9781,-105,49,547,3/3/2022 11:21,
5366,1875,2306,9628,-116,-35,809,3/3/2022 11:21,
5367,1899,2402,8853,-62,-17,840,3/3/2022 11:21,
5368,1852,1287,9083,-81,-22,939,3/3/2022 11:21,
5369,1091,1335,10212,168,-47,944,3/3/2022 11:21,
5370,914,918,10011,4,-182,936,3/3/2022 11:21,
5371,1263,406,9734,132,-49,829,3/3/2022 11:21,
5372,1258,1167,9839,-44,-43,825,3/3/2022 11:21,
5373,1081,-344,9494,190,-94,1016,3/3/2022 11:21,
5374,870,-689,9609,108,-9,891,3/3/2022 11:21,
5375,875,-832,9671,44,67,779,3/3/2022 11:21,
5376,1038,-741,9690,78,49,701,3/3/2022 11:21,
5377,1430,-454,8939,-51,72,717,3/3/2022 11:21,
5378,1148,-1411,9456,56,64,793,3/3/2022 11:21,
