timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5922,-1392,2120,9700,115,49,-2026,03/03/2022 11:23:07
5923,-320,3321,9738,-77,122,-1981,03/03/2022 11:23:07
5924,-339,2373,9920,-83,-94,-1797,03/03/2022 11:23:07
5925,1110,3397,9963,98,-4,-1644,03/03/2022 11:23:07
5926,1100,3373,10174,40,-40,-1429,03/03/2022 11:23:07
5927,3249,4029,10542,259,-266,-1074,03/03/2022 11:23:07
5928,5527,3383,11255,0,-486,-567,03/03/2022 11:23:07
5929,5709,3929,10715,-185,-320,-150,03/03/2022 11:23:07
5930,4465,2526,10011,-278,-312,391,03/03/2022 11:23:07
5931,3996,2440,8877,-281,-283,737,03/03/2022 11:23:07
5932,3292,1708,8551,-193,-97,928,03/03/2022 11:23:07
5933,2904,1555,8858,13,61,987,03/03/2022 11:23:07
5934,2019,1440,9006,5,31,1089,03/03/2022 11:23:07
5935,1521,1067,8949,8,37,1208,03/03/2022 11:23:07
5936,885,918,9279,224,-23,1269,03/03/2022 11:23:07
5937,856,713,9394,168,77,1408,03/03/2022 11:23:07
5938,-373,14,10236,265,312,1487,03/03/2022 11:23:07
5939,-1478,14,10777,218,76,1548,03/03/2022 11:23:08
5940,-1981,-373,10853,230,2,1505,03/03/2022 11:23:08
5941,-3857,-612,10475,-23,108,1215,03/03/2022 11:23:08
5942,-4532,-1201,10255,23,-109,868,03/03/2022 11:23:08
5943,-5417,-1138,9834,96,53,214,03/03/2022 11:23:08
5944,-4144,-990,8901,-5,-135,-549,03/03/2022 11:23:08
5945,-3345,-282,9442,10,73,-1168,03/03/2022 11:23:08
5946,-2593,598,9427,33,-64,-1387,03/03/2022 11:23:08
5947,-1402,1048,9868,84,46,-1624,03/03/2022 11:23:08
5948,-344,1660,9887,79,101,-1751,03/03/2022 11:23:08
5949,-354,2555,10293,57,283,-1655,03/03/2022 11:23:08
5950,488,3105,10437,120,0,-1493,03/03/2022 11:23:08
5951,0,2282,10341,-9,-171,-1250,03/03/2022 11:23:08
5952,229,2627,9978,148,-126,-1274,03/03/2022 11:23:08
5953,1301,3373,9762,-37,-400,-1217,03/03/2022 11:23:08
5954,2340,2914,9518,-37,-373,-946,03/03/2022 11:23:08
5955,2933,2498,9667,23,-291,-897,03/03/2022 11:23:08
5956,4608,3024,9724,-202,-136,-317,03/03/2022 11:23:08
5957,3991,2053,9576,-76,-181,-25,03/03/2022 11:23:08
5958,3952,1990,9341,-69,-30,205,03/03/2022 11:23:08
5959,3771,1890,9470,-94,21,466,03/03/2022 11:23:08
5960,3005,1713,9480,46,-35,778,03/03/2022 11:23:09
5961,3105,1928,9116,-83,113,790,03/03/2022 11:23:09
5962,3024,2038,9317,1,-78,1009,03/03/2022 11:23:09
5963,1871,1947,9552,284,-28,1393,03/03/2022 11:23:09
5964,1545,2215,9671,150,-20,1428,03/03/2022 11:23:09
5965,937,1875,9734,260,-52,1625,03/03/2022 11:23:09
5966,9,1933,9882,431,28,1659,03/03/2022 11:23:09
5967,-669,1531,10394,243,174,1440,03/03/2022 11:23:09
