timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
7938,-3359,358,10423,187,330,-1460,03/03/2022 11:26:37
7939,-1028,1239,9676,147,170,-1516,03/03/2022 11:26:37
7940,-1598,23,9399,325,443,-1611,03/03/2022 11:26:37
7941,579,1890,9461,309,384,-1591,03/03/2022 11:26:37
7942,-583,373,9781,367,46,-1219,03/03/2022 11:26:37
7943,521,1555,9815,387,38,-1103,03/03/2022 11:26:37
7944,-842,440,9829,375,47,-918,03/03/2022 11:26:37
7945,200,1009,10131,535,-17,-920,03/03/2022 11:26:37
7946,-167,641,10418,228,-81,-711,03/03/2022 11:26:38
7947,354,449,10088,343,-127,-695,03/03/2022 11:26:38
7948,382,397,10834,258,-133,-501,03/03/2022 11:26:38
7949,2957,1296,11385,204,-16,-364,03/03/2022 11:26:38
7950,2871,832,11954,-43,-208,73,03/03/2022 11:26:38
7951,2861,1363,10681,-252,-170,402,03/03/2022 11:26:38
7952,2455,1923,11279,-233,-11,657,03/03/2022 11:26:38
7953,1990,894,10356,-277,-106,1032,03/03/2022 11:26:38
7954,1813,1674,10920,-220,-25,1010,03/03/2022 11:26:38
7955,1904,1292,9796,-605,-242,1319,03/03/2022 11:26:38
7956,-287,789,9781,-183,-54,1364,03/03/2022 11:26:38
7957,-229,1339,9461,-389,-175,1397,03/03/2022 11:26:38
7958,-588,713,9298,-189,-133,1463,03/03/2022 11:26:38
7959,-1483,837,9102,-231,-93,1448,03/03/2022 11:26:38
7960,-1727,1148,9317,-84,-30,1472,03/03/2022 11:26:38
7961,-2895,770,9561,-84,-105,1420,03/03/2022 11:26:38
7962,-2967,-86,9006,-185,-135,1273,03/03/2022 11:26:38
7963,-3278,-311,9121,37,-88,1166,03/03/2022 11:26:38
7964,-3220,-430,9164,20,-36,971,03/03/2022 11:26:38
7965,-3905,-856,9403,128,-221,814,03/03/2022 11:26:38
7966,-4771,-1052,9700,112,-28,583,03/03/2022 11:26:39
7967,-5383,-512,10164,138,-7,266,03/03/2022 11:26:39
7968,-6139,-387,10724,125,-34,-80,03/03/2022 11:26:39
7969,-5479,-181,10284,-82,-102,-447,03/03/2022 11:26:39
7970,-4110,-28,9566,-47,-51,-721,03/03/2022 11:26:39
