timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
8611,215,287,-9834,7,-2,-6,03/03/2022 11:39:11
8612,224,248,-9810,5,-1,-7,03/03/2022 11:39:11
8613,210,267,-9848,6,-1,-7,03/03/2022 11:39:11
8614,220,277,-9829,5,-2,-7,03/03/2022 11:39:11
8615,220,282,-9820,4,0,-7,03/03/2022 11:39:11
8616,196,263,-9839,3,-1,-7,03/03/2022 11:39:11
8617,200,258,-9810,3,-1,-7,03/03/2022 11:39:11
8618,215,258,-9829,5,-2,-6,03/03/2022 11:39:11
8619,200,258,-9844,3,-1,-7,03/03/2022 11:39:12
8620,224,267,-9820,4,-1,-6,03/03/2022 11:39:12
8621,200,277,-9839,5,-1,-6,03/03/2022 11:39:12
8622,220,296,-9820,4,-1,-7,03/03/2022 11:39:12
8623,220,258,-9834,4,-2,-7,03/03/2022 11:39:12
8624,200,258,-9853,6,-1,-7,03/03/2022 11:39:12
8625,181,272,-9796,4,-1,-7,03/03/2022 11:39:12
8626,205,272,-9815,4,-1,-6,03/03/2022 11:39:12
8627,196,234,-9868,3,-1,-6,03/03/2022 11:39:12
8628,234,253,-9805,2,-1,-7,03/03/2022 11:39:12
8629,215,267,-9824,5,-1,-6,03/03/2022 11:39:12
8630,210,272,-9834,5,-1,-7,03/03/2022 11:39:12
8631,205,263,-9839,4,-1,-6,03/03/2022 11:39:12
8632,186,272,-9820,5,-2,-7,03/03/2022 11:39:12
8633,205,258,-9815,4,-2,-7,03/03/2022 11:39:12
8634,191,272,-9839,6,-1,-6,03/03/2022 11:39:12
8635,205,296,-9815,4,-1,-7,03/03/2022 11:39:12
8636,215,272,-9805,4,-1,-7,03/03/2022 11:39:12
8637,210,253,-9796,4,-1,-7,03/03/2022 11:39:12
8638,215,272,-9829,4,-1,-7,03/03/2022 11:39:13
8639,196,272,-9834,2,0,-6,03/03/2022 11:39:13
8640,215,258,-9848,4,-1,-6,03/03/2022 11:39:13
8641,215,277,-9844,3,-2,-7,03/03/2022 11:39:13
8642,220,258,-9805,4,-1,-7,03/03/2022 11:39:13
8643,220,253,-9820,6,-2,-6,03/03/2022 11:39:13
8644,200,253,-9801,3,0,-7,03/03/2022 11:39:13
8645,224,234,-9839,5,-1,-6,03/03/2022 11:39:13
8646,191,263,-9844,5,-2,-7,03/03/2022 11:39:13
8647,210,272,-9805,5,-1,-7,03/03/2022 11:39:13
8648,196,253,-9820,4,-1,-7,03/03/2022 11:39:13
8649,210,267,-9844,3,0,-7,03/03/2022 11:39:13
8650,210,272,-9810,5,-2,-6,03/03/2022 11:39:13
8651,210,272,-9829,4,-1,-7,03/03/2022 11:39:13
8652,210,272,-9829,4,-2,-7,03/03/2022 11:39:13
8653,215,263,-9815,4,-1,-7,03/03/2022 11:39:13
8654,191,267,-9815,4,0,-7,03/03/2022 11:39:13
8655,172,277,-9834,6,-1,-6,03/03/2022 11:39:13
8656,215,272,-9824,6,-1,-7,03/03/2022 11:39:13
8657,234,272,-9839,3,-1,-7,03/03/2022 11:39:13
8658,186,277,-9844,5,-2,-7,03/03/2022 11:39:14
8659,215,253,-9877,4,-1,-6,03/03/2022 11:39:14
8660,205,263,-9829,3,-1,-6,03/03/2022 11:39:14
8661,200,277,-9815,3,-1,-7,03/03/2022 11:39:14
8662,224,253,-9829,5,-1,-7,03/03/2022 11:39:14
8663,196,272,-9829,4,-2,-6,03/03/2022 11:39:14
8664,210,282,-9824,4,-1,-7,03/03/2022 11:39:14
8665,229,263,-9810,4,-1,-6,03/03/2022 11:39:14
8666,191,248,-9815,3,-2,-6,03/03/2022 11:39:14
8667,210,253,-9829,3,-2,-7,03/03/2022 11:39:14
8668,210,282,-9815,4,-1,-6,03/03/2022 11:39:14
8669,220,263,-9848,3,-1,-7,03/03/2022 11:39:14
8670,200,253,-9848,6,-1,-6,03/03/2022 11:39:14
8671,215,291,-9810,4,-1,-6,03/03/2022 11:39:14
8672,200,267,-9815,4,-1,-7,03/03/2022 11:39:14
8673,205,258,-9834,5,-1,-6,03/03/2022 11:39:14
8674,210,277,-9839,6,-1,-6,03/03/2022 11:39:14
8675,205,272,-9796,4,-1,-6,03/03/2022 11:39:14
8676,200,277,-9820,5,-3,-6,03/03/2022 11:39:14
8677,186,272,-9810,5,-2,-6,03/03/2022 11:39:14
8678,215,291,-9820,5,-1,-6,03/03/2022 11:39:15
8679,210,267,-9839,2,-1,-7,03/03/2022 11:39:15
8680,205,248,-9805,4,-1,-6,03/03/2022 11:39:15
8681,220,272,-9824,4,-1,-6,03/03/2022 11:39:15
8682,205,282,-9853,5,-2,-6,03/03/2022 11:39:15
8683,224,277,-9815,5,-1,-7,03/03/2022 11:39:15
8684,224,263,-9839,4,0,-7,03/03/2022 11:39:15
8685,205,277,-9824,5,-1,-6,03/03/2022 11:39:15
8686,200,272,-9781,5,-1,-7,03/03/2022 11:39:15
8687,224,248,-9834,5,-1,-6,03/03/2022 11:39:15
8688,220,291,-9834,4,-1,-7,03/03/2022 11:39:15
8689,200,239,-9805,3,-1,-6,03/03/2022 11:39:15
8690,200,253,-9858,5,-2,-7,03/03/2022 11:39:15
