timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3250,172,287,-9844,4,-2,-6,03/03/2022 11:13:46
3251,172,291,-9772,5,-1,-7,03/03/2022 11:13:46
3252,191,296,-9801,6,-2,-7,03/03/2022 11:13:46
3253,153,291,-9805,3,0,-7,03/03/2022 11:13:46
3254,157,287,-9791,3,-1,-7,03/03/2022 11:13:46
3255,186,301,-9824,4,-2,-6,03/03/2022 11:13:46
3256,172,287,-9753,2,0,-7,03/03/2022 11:13:46
3257,172,301,-9762,5,0,-6,03/03/2022 11:13:46
3258,162,291,-9844,3,-1,-7,03/03/2022 11:13:46
3259,172,291,-9810,5,-1,-6,03/03/2022 11:13:46
3260,143,301,-9824,7,-1,-7,03/03/2022 11:13:46
3261,205,296,-9824,5,-1,-6,03/03/2022 11:13:46
3262,181,287,-9786,5,-1,-7,03/03/2022 11:13:46
3263,186,291,-9810,4,-1,-7,03/03/2022 11:13:46
3264,162,306,-9791,4,0,-7,03/03/2022 11:13:46
3265,177,296,-9762,4,-1,-7,03/03/2022 11:13:46
3266,162,291,-9815,6,-2,-6,03/03/2022 11:13:46
3267,153,282,-9772,5,0,-6,03/03/2022 11:13:46
3268,157,311,-9839,4,-2,-7,03/03/2022 11:13:46
3269,162,291,-9844,4,-2,-7,03/03/2022 11:13:47
3270,181,277,-9786,5,-1,-7,03/03/2022 11:13:47
3271,181,306,-9834,6,-2,-7,03/03/2022 11:13:47
3272,172,311,-9829,1,-3,-7,03/03/2022 11:13:47
3273,157,287,-9762,5,-1,-6,03/03/2022 11:13:47
3274,177,291,-9777,6,-2,-7,03/03/2022 11:13:47
3275,172,291,-9796,2,0,-7,03/03/2022 11:13:47
3276,181,287,-9781,7,-1,-6,03/03/2022 11:13:47
3277,148,287,-9805,3,-2,-6,03/03/2022 11:13:47
3278,167,287,-9781,5,-2,-7,03/03/2022 11:13:47
3279,153,291,-9853,3,0,-7,03/03/2022 11:13:47
3280,162,272,-9829,3,-1,-7,03/03/2022 11:13:47
3281,200,287,-9743,6,-1,-7,03/03/2022 11:13:47
3282,167,282,-9815,4,-1,-7,03/03/2022 11:13:47
3283,191,277,-9767,5,-1,-7,03/03/2022 11:13:47
3284,148,287,-9748,7,-1,-7,03/03/2022 11:13:47
3285,181,296,-9767,3,-2,-6,03/03/2022 11:13:47
3286,157,306,-9781,3,0,-7,03/03/2022 11:13:47
3287,177,282,-9786,3,-1,-7,03/03/2022 11:13:47
3288,181,258,-9834,3,-1,-7,03/03/2022 11:13:47
3289,167,277,-9786,6,-1,-7,03/03/2022 11:13:48
3290,153,296,-9815,6,-3,-7,03/03/2022 11:13:48
3291,153,291,-9829,5,-2,-7,03/03/2022 11:13:48
3292,162,306,-9801,7,-2,-7,03/03/2022 11:13:48
3293,167,311,-9824,3,0,-7,03/03/2022 11:13:48
3294,181,291,-9791,4,0,-7,03/03/2022 11:13:48
3295,167,282,-9767,5,-1,-7,03/03/2022 11:13:48
3296,167,291,-9815,5,-3,-7,03/03/2022 11:13:48
3297,162,277,-9781,3,-1,-7,03/03/2022 11:13:48
3298,186,291,-9848,7,-2,-7,03/03/2022 11:13:48
3299,138,291,-9820,4,-2,-6,03/03/2022 11:13:48
3300,186,291,-9796,5,0,-6,03/03/2022 11:13:48
3301,162,282,-9829,7,-2,-7,03/03/2022 11:13:48
3302,172,263,-9801,4,-1,-7,03/03/2022 11:13:48
3303,177,306,-9777,5,-1,-7,03/03/2022 11:13:48
3304,181,301,-9786,3,0,-7,03/03/2022 11:13:48
3305,143,291,-9796,5,-2,-7,03/03/2022 11:13:48
3306,172,282,-9772,5,-1,-7,03/03/2022 11:13:48
3307,172,296,-9839,3,-1,-6,03/03/2022 11:13:48
3308,172,296,-9805,3,-1,-6,03/03/2022 11:13:48
3309,181,301,-9829,2,-1,-7,03/03/2022 11:13:49
3310,172,296,-9834,4,0,-7,03/03/2022 11:13:49
3311,157,282,-9786,4,-1,-6,03/03/2022 11:13:49
3312,157,291,-9781,4,-1,-7,03/03/2022 11:13:49
3313,177,263,-9781,4,-1,-6,03/03/2022 11:13:49
3314,177,287,-9757,4,0,-7,03/03/2022 11:13:49
3315,167,282,-9777,4,0,-7,03/03/2022 11:13:49
3316,153,291,-9839,1,-1,-7,03/03/2022 11:13:49
3317,153,296,-9757,6,-2,-7,03/03/2022 11:13:49
3318,157,306,-9834,4,-2,-6,03/03/2022 11:13:49
3319,162,287,-9824,5,-1,-7,03/03/2022 11:13:49
3320,167,296,-9815,3,0,-7,03/03/2022 11:13:49
3321,167,282,-9829,3,-2,-7,03/03/2022 11:13:49
3322,162,296,-9753,7,-2,-7,03/03/2022 11:13:49
3323,162,330,-9796,7,-2,-7,03/03/2022 11:13:49
3324,177,277,-9805,3,-1,-6,03/03/2022 11:13:49
3325,177,272,-9786,6,-1,-7,03/03/2022 11:13:49
3326,162,291,-9829,3,-1,-7,03/03/2022 11:13:49
3327,153,306,-9786,2,0,-7,03/03/2022 11:13:49
3328,167,291,-9801,6,-2,-7,03/03/2022 11:13:50
3329,143,301,-9844,3,-1,-7,03/03/2022 11:13:50
3330,162,272,-9824,4,-1,-7,03/03/2022 11:13:50
3331,162,287,-9801,3,0,-7,03/03/2022 11:13:50
3332,177,282,-9853,3,-2,-7,03/03/2022 11:13:50
3333,172,296,-9781,4,-2,-7,03/03/2022 11:13:50
3334,167,296,-9777,8,-1,-7,03/03/2022 11:13:50
3335,172,282,-9781,7,-2,-7,03/03/2022 11:13:50
3336,172,282,-9781,4,-2,-6,03/03/2022 11:13:50
3337,172,306,-9839,4,-1,-7,03/03/2022 11:13:50
3338,167,301,-9815,4,-3,-7,03/03/2022 11:13:50
3339,181,282,-9791,5,0,-6,03/03/2022 11:13:50
3340,177,301,-9848,5,-2,-7,03/03/2022 11:13:50
3341,157,282,-9757,4,-1,-7,03/03/2022 11:13:50
3342,181,301,-9801,6,-1,-6,03/03/2022 11:13:50
3343,153,272,-9815,7,-2,-7,03/03/2022 11:13:50
3344,186,282,-9748,5,-1,-7,03/03/2022 11:13:50
3345,162,291,-9791,3,-1,-7,03/03/2022 11:13:50
3346,162,272,-9839,6,-2,-7,03/03/2022 11:13:50
3347,196,282,-9781,6,-2,-7,03/03/2022 11:13:50
3348,153,296,-9815,7,-2,-7,03/03/2022 11:13:50
3349,157,291,-9834,2,-1,-7,03/03/2022 11:13:51
3350,181,282,-9781,6,-2,-7,03/03/2022 11:13:51
3351,172,291,-9824,4,-2,-7,03/03/2022 11:13:51
3352,153,296,-9781,4,-1,-7,03/03/2022 11:13:51
3353,177,291,-9762,3,0,-7,03/03/2022 11:13:51
3354,157,277,-9801,7,-3,-6,03/03/2022 11:13:51
3355,172,311,-9762,5,-1,-7,03/03/2022 11:13:51
3356,162,277,-9777,5,-2,-6,03/03/2022 11:13:51
3357,167,296,-9839,5,-2,-7,03/03/2022 11:13:51
3358,162,306,-9772,6,-1,-7,03/03/2022 11:13:51
3359,177,306,-9801,4,-1,-7,03/03/2022 11:13:51
3360,162,301,-9848,4,-2,-7,03/03/2022 11:13:51
3361,167,277,-9786,3,-2,-7,03/03/2022 11:13:51
3362,200,272,-9791,6,-1,-7,03/03/2022 11:13:51
3363,177,282,-9781,6,0,-6,03/03/2022 11:13:51
3364,172,301,-9786,4,0,-7,03/03/2022 11:13:51
3365,157,296,-9824,8,-2,-6,03/03/2022 11:13:51
3366,162,296,-9777,6,-1,-7,03/03/2022 11:13:51
3367,181,287,-9834,4,-2,-7,03/03/2022 11:13:51
3368,148,287,-9848,3,-2,-7,03/03/2022 11:13:51
3369,157,296,-9805,5,-1,-7,03/03/2022 11:13:52
3370,172,282,-9815,3,-1,-7,03/03/2022 11:13:52
3371,172,277,-9820,5,-2,-7,03/03/2022 11:13:52
3372,177,287,-9767,5,-2,-7,03/03/2022 11:13:52
3373,172,306,-9820,3,0,-7,03/03/2022 11:13:52
3374,143,296,-9762,3,0,-7,03/03/2022 11:13:52
3375,172,301,-9781,6,-1,-6,03/03/2022 11:13:52
3376,119,291,-9820,5,-1,-7,03/03/2022 11:13:52
3377,162,282,-9796,3,-1,-7,03/03/2022 11:13:52
3378,157,277,-9805,7,-2,-7,03/03/2022 11:13:52
3379,172,306,-9824,3,-1,-7,03/03/2022 11:13:52
3380,177,253,-9772,5,-1,-7,03/03/2022 11:13:52
3381,162,306,-9844,3,0,-6,03/03/2022 11:13:52
3382,172,282,-9781,2,0,-7,03/03/2022 11:13:52
3383,191,263,-9757,4,-1,-7,03/03/2022 11:13:52
3384,200,315,-9820,5,-2,-7,03/03/2022 11:13:52
3385,172,311,-9801,3,-1,-7,03/03/2022 11:13:52
3386,167,272,-9748,3,0,-6,03/03/2022 11:13:52
