timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
4249,167,291,-9748,5,-1,-7,03/03/2022 11:15:53
4250,167,267,-9786,4,0,-6,03/03/2022 11:15:53
4251,167,296,-9791,5,-1,-6,03/03/2022 11:15:53
4252,177,296,-9767,6,-2,-7,03/03/2022 11:15:53
4253,157,296,-9853,4,-1,-7,03/03/2022 11:15:53
4254,272,244,-9882,282,-267,-12,03/03/2022 11:15:53
4255,-28,248,-9710,-38,-50,-13,03/03/2022 11:15:53
4256,28,311,-9786,-30,-11,-30,03/03/2022 11:15:53
4257,52,248,-9820,42,15,-48,03/03/2022 11:15:54
4258,291,401,-9647,-82,158,-11,03/03/2022 11:15:54
4259,301,110,-10025,53,31,-10,03/03/2022 11:15:54
4260,177,287,-9738,7,-11,-6,03/03/2022 11:15:54
4261,143,287,-9777,9,-10,-8,03/03/2022 11:15:54
4262,148,282,-9810,7,-1,-7,03/03/2022 11:15:54
4263,129,291,-9796,6,6,-5,03/03/2022 11:15:54
4264,181,282,-9815,1,0,-6,03/03/2022 11:15:54
4265,148,301,-9839,4,-3,-7,03/03/2022 11:15:54
4266,153,282,-9815,5,-3,-7,03/03/2022 11:15:54
4267,143,267,-9848,5,-3,-7,03/03/2022 11:15:54
4268,162,311,-9801,3,1,-7,03/03/2022 11:15:54
4269,167,287,-9796,4,0,-6,03/03/2022 11:15:54
4270,191,282,-9805,4,0,-6,03/03/2022 11:15:54
4271,167,296,-9791,5,-4,-7,03/03/2022 11:15:54
4272,157,282,-9796,7,-2,-7,03/03/2022 11:15:54
4273,167,267,-9824,4,0,-6,03/03/2022 11:15:54
4274,162,272,-9762,5,0,-6,03/03/2022 11:15:54
4275,167,306,-9829,3,0,-7,03/03/2022 11:15:54
4276,143,277,-9820,6,-4,-6,03/03/2022 11:15:54
4277,138,272,-9796,7,-3,-7,03/03/2022 11:15:55
4278,162,277,-9810,3,-1,-7,03/03/2022 11:15:55
4279,162,263,-9767,5,0,-7,03/03/2022 11:15:55
4280,167,287,-9801,6,0,-7,03/03/2022 11:15:55
4281,148,291,-9815,2,-2,-6,03/03/2022 11:15:55
4282,148,272,-9839,7,-3,-7,03/03/2022 11:15:55
4283,162,267,-9820,4,0,-7,03/03/2022 11:15:55
4284,143,306,-9824,2,-1,-6,03/03/2022 11:15:55
4285,167,287,-9810,5,0,-7,03/03/2022 11:15:55
