timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
6931,-57,937,9925,-95,63,1245,03/03/2022 11:24:52
6932,-66,330,9241,-25,-174,1293,03/03/2022 11:24:52
6933,-679,43,9212,112,171,1199,03/03/2022 11:24:52
6934,-1895,-129,9643,136,-17,1027,03/03/2022 11:24:52
6935,-2139,71,9576,-6,33,905,03/03/2022 11:24:52
6936,-2589,-301,9619,40,-18,794,03/03/2022 11:24:52
6937,-3641,-626,9384,100,102,577,03/03/2022 11:24:52
6938,-4101,-488,9820,151,61,279,03/03/2022 11:24:52
6939,-4570,-602,9915,64,21,-52,03/03/2022 11:24:52
6940,-4110,-497,9920,6,9,-311,03/03/2022 11:24:52
6941,-2550,-330,9982,-22,24,-613,03/03/2022 11:24:53
6942,-2584,-334,9844,-79,0,-708,03/03/2022 11:24:53
6943,-1301,-153,9858,54,171,-939,03/03/2022 11:24:53
6944,-1718,-28,9906,0,188,-962,03/03/2022 11:24:53
6945,-2019,186,10140,94,160,-1043,03/03/2022 11:24:53
6946,-1378,253,9786,4,-2,-1075,03/03/2022 11:24:53
6947,-1354,622,9451,107,-23,-1093,03/03/2022 11:24:53
6948,-947,550,9542,141,-66,-1121,03/03/2022 11:24:53
6949,-401,746,9566,149,-144,-1133,03/03/2022 11:24:53
6950,200,775,9595,151,-140,-1101,03/03/2022 11:24:53
6951,1253,1100,9561,162,-7,-1074,03/03/2022 11:24:53
6952,1617,985,10140,164,-53,-936,03/03/2022 11:24:53
6953,2579,1052,9915,126,20,-753,03/03/2022 11:24:53
6954,2770,1115,10810,163,55,-546,03/03/2022 11:24:53
6955,4307,1584,10992,-25,85,-121,03/03/2022 11:24:53
6956,3278,789,10868,-63,-59,204,03/03/2022 11:24:53
6957,2641,1052,10088,-97,-96,487,03/03/2022 11:24:53
6958,2196,1115,10159,-10,-17,672,03/03/2022 11:24:53
6959,1306,1019,9820,-67,-102,859,03/03/2022 11:24:53
6960,1220,-76,9868,3,-111,920,03/03/2022 11:24:54
6961,23,181,10896,62,32,1038,03/03/2022 11:24:54
6962,507,1344,10619,-12,80,851,03/03/2022 11:24:54
6963,708,1138,9652,-369,-111,1052,03/03/2022 11:24:54
6964,942,971,9174,-13,240,970,03/03/2022 11:24:54
6965,339,1225,9834,-260,142,1078,03/03/2022 11:24:54
6966,-401,1349,9274,-52,305,1129,03/03/2022 11:24:54
6967,-2904,373,9762,-24,0,1151,03/03/2022 11:24:54
6968,-4048,-119,9360,-40,33,1019,03/03/2022 11:24:54
6969,-4790,-808,9633,71,74,749,03/03/2022 11:24:54
6970,-4646,-679,9154,-31,20,427,03/03/2022 11:24:54
6971,-5259,-890,9375,9,-24,282,03/03/2022 11:24:54
6972,-5532,-914,9475,90,-52,-22,03/03/2022 11:24:54
6973,-3933,-971,9202,28,-99,-407,03/03/2022 11:24:54
6974,-3153,-315,9628,121,80,-620,03/03/2022 11:24:54
6975,-2708,33,9729,57,-50,-729,03/03/2022 11:24:54
6976,-2450,-9,10078,159,28,-909,03/03/2022 11:24:54
6977,-933,602,9868,80,36,-1045,03/03/2022 11:24:54
6978,-957,598,10179,68,91,-1001,03/03/2022 11:24:54
6979,-445,1287,10030,-34,54,-957,03/03/2022 11:24:54
6980,-579,177,9327,-63,7,-899,03/03/2022 11:24:55
6981,-1909,248,10064,257,155,-974,03/03/2022 11:24:55
6982,-966,579,9958,141,-106,-1075,03/03/2022 11:24:55
6983,-674,703,9729,131,-132,-998,03/03/2022 11:24:55
6984,579,1177,9561,178,-108,-1043,03/03/2022 11:24:55
6985,1024,942,9542,52,-141,-925,03/03/2022 11:24:55
6986,2895,1512,10159,226,6,-728,03/03/2022 11:24:55
6987,4283,1354,11169,41,-32,-191,03/03/2022 11:24:55
