timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,date
4588,172,301,-9844,1,-2,-7,03/03/2022 11:16:42
4589,191,272,-9829,7,-1,-8,03/03/2022 11:16:43
4590,172,239,-9805,19,-2,-1,03/03/2022 11:16:43
4591,133,320,-9820,1,-4,-5,03/03/2022 11:16:43
4592,162,291,-9757,6,-1,-6,03/03/2022 11:16:43
4593,167,272,-9810,5,-2,-6,03/03/2022 11:16:43
4594,167,287,-9781,3,-1,-6,03/03/2022 11:16:43
4595,177,296,-9786,7,-1,-6,03/03/2022 11:16:43
4596,167,272,-9834,4,-1,-6,03/03/2022 11:16:43
4597,153,301,-9791,2,-2,-6,03/03/2022 11:16:43
4598,162,291,-9839,7,-1,-7,03/03/2022 11:16:43
4599,167,287,-9820,4,-2,-6,03/03/2022 11:16:43
4600,157,296,-9781,7,0,-6,03/03/2022 11:16:43
4601,153,291,-9824,5,-2,-7,03/03/2022 11:16:43
4602,148,277,-9777,5,-1,-7,03/03/2022 11:16:43
4603,167,263,-9805,5,-1,-7,03/03/2022 11:16:43
4604,162,296,-9829,6,-1,-7,03/03/2022 11:16:43
4605,162,296,-9762,4,0,-7,03/03/2022 11:16:43
4606,167,296,-9829,4,-1,-7,03/03/2022 11:16:43
4607,181,263,-9824,6,-1,-6,03/03/2022 11:16:43
4608,172,277,-9801,5,-1,-7,03/03/2022 11:16:43
4609,167,291,-9858,4,-1,-7,03/03/2022 11:16:44
4610,148,282,-9829,6,-2,-7,03/03/2022 11:16:44
4611,181,267,-9791,5,-1,-6,03/03/2022 11:16:44
4612,172,287,-9810,4,-1,-6,03/03/2022 11:16:44
4613,162,287,-9772,5,-2,-6,03/03/2022 11:16:44
4614,167,253,-9781,6,0,-7,03/03/2022 11:16:44
4615,167,282,-9786,3,-2,-6,03/03/2022 11:16:44
4616,153,306,-9781,5,-1,-7,03/03/2022 11:16:44
4617,172,311,-9844,2,0,-7,03/03/2022 11:16:44
4618,172,311,-9805,2,-1,-7,03/03/2022 11:16:44
4619,181,277,-9791,5,0,-7,03/03/2022 11:16:44
4620,157,291,-9824,7,-2,-7,03/03/2022 11:16:44
4621,167,282,-9786,5,-1,-7,03/03/2022 11:16:44
4622,148,282,-9777,4,0,-7,03/03/2022 11:16:44
4623,177,282,-9815,3,-1,-7,03/03/2022 11:16:44
4624,167,282,-9767,5,-1,-7,03/03/2022 11:16:44
4625,181,282,-9757,5,-2,-7,03/03/2022 11:16:44
4626,167,296,-9796,4,-2,-6,03/03/2022 11:16:44
4627,177,301,-9777,4,-1,-6,03/03/2022 11:16:44
4628,167,277,-9844,3,-1,-7,03/03/2022 11:16:44
4629,162,287,-9805,3,-2,-7,03/03/2022 11:16:45
4630,172,296,-9810,5,-1,-7,03/03/2022 11:16:45
4631,172,287,-9805,4,-2,-7,03/03/2022 11:16:45
4632,200,267,-9805,6,-2,-7,03/03/2022 11:16:45
4633,181,311,-9791,6,-1,-7,03/03/2022 11:16:45
4634,153,277,-9805,5,-2,-6,03/03/2022 11:16:45
4635,172,267,-9796,5,0,-7,03/03/2022 11:16:45
4636,148,287,-9810,2,-1,-6,03/03/2022 11:16:45
4637,167,301,-9810,4,-1,-7,03/03/2022 11:16:45
4638,157,301,-9801,4,-2,-7,03/03/2022 11:16:45
4639,181,301,-9824,6,-1,-7,03/03/2022 11:16:45
4640,177,267,-9791,3,-1,-7,03/03/2022 11:16:45
4641,167,291,-9810,3,-1,-7,03/03/2022 11:16:45
4642,167,301,-9810,4,-1,-6,03/03/2022 11:16:45
4643,186,272,-9762,7,-1,-7,03/03/2022 11:16:45
4644,181,277,-9777,4,-1,-7,03/03/2022 11:16:45
4645,157,287,-9820,5,-2,-7,03/03/2022 11:16:45
4646,167,277,-9801,4,0,-7,03/03/2022 11:16:45
4647,157,315,-9824,4,-3,-7,03/03/2022 11:16:45
4648,196,291,-9863,6,-2,-6,03/03/2022 11:16:45
4649,196,291,-9781,5,-1,-6,03/03/2022 11:16:46
4650,148,291,-9829,4,-1,-6,03/03/2022 11:16:46
4651,157,287,-9786,2,-1,-7,03/03/2022 11:16:46
4652,157,287,-9757,5,0,-7,03/03/2022 11:16:46
4653,148,267,-9824,6,-2,-6,03/03/2022 11:16:46
4654,162,287,-9791,6,-1,-6,03/03/2022 11:16:46
4655,162,267,-9820,4,-1,-7,03/03/2022 11:16:46
4656,186,287,-9820,5,-2,-7,03/03/2022 11:16:46
4657,157,291,-9796,6,-2,-7,03/03/2022 11:16:46
4658,162,301,-9834,5,-2,-7,03/03/2022 11:16:46
4659,129,282,-9844,5,-2,-7,03/03/2022 11:16:46
4660,191,315,-9781,6,-1,-7,03/03/2022 11:16:46
4661,177,311,-9824,2,-1,-7,03/03/2022 11:16:46
4662,181,311,-9772,4,-2,-7,03/03/2022 11:16:46
4663,186,282,-9781,6,-1,-6,03/03/2022 11:16:46
4664,172,272,-9824,4,-1,-7,03/03/2022 11:16:46
4665,157,272,-9777,3,0,-7,03/03/2022 11:16:46
4666,172,282,-9820,4,-2,-6,03/03/2022 11:16:46
4667,143,296,-9824,5,-1,-7,03/03/2022 11:16:46
4668,148,301,-9791,5,0,-7,03/03/2022 11:16:46
4669,153,315,-9810,6,-2,-7,03/03/2022 11:16:46
4670,181,272,-9781,4,0,-7,03/03/2022 11:16:47
4671,167,263,-9791,4,-1,-6,03/03/2022 11:16:47
4672,157,287,-9820,4,0,-7,03/03/2022 11:16:47
4673,196,287,-9767,4,-1,-7,03/03/2022 11:16:47
4674,157,272,-9786,7,-1,-7,03/03/2022 11:16:47
4675,177,296,-9824,4,-1,-7,03/03/2022 11:16:47
4676,181,272,-9805,3,0,-7,03/03/2022 11:16:47
4677,191,306,-9858,6,-2,-7,03/03/2022 11:16:47
4678,148,282,-9839,6,-2,-7,03/03/2022 11:16:47
4679,162,287,-9791,4,0,-7,03/03/2022 11:16:47
4680,177,315,-9834,4,0,-7,03/03/2022 11:16:47
4681,186,277,-9815,5,-1,-6,03/03/2022 11:16:47
4682,167,287,-9762,7,0,-7,03/03/2022 11:16:47
4683,191,291,-9853,5,-1,-7,03/03/2022 11:16:47
4684,157,306,-9805,4,-1,-7,03/03/2022 11:16:47
4685,162,277,-9777,5,-2,-7,03/03/2022 11:16:47
4686,143,282,-9858,7,-3,-6,03/03/2022 11:16:47
4687,167,267,-9777,4,-1,-6,03/03/2022 11:16:47
4688,162,277,-9810,4,-1,-7,03/03/2022 11:16:47
4689,167,315,-9844,3,-1,-7,03/03/2022 11:16:48
4690,181,277,-9786,3,0,-7,03/03/2022 11:16:48
4691,172,291,-9815,4,-1,-7,03/03/2022 11:16:48
4692,172,258,-9757,6,-1,-6,03/03/2022 11:16:48
4693,153,287,-9777,6,-2,-7,03/03/2022 11:16:48
4694,186,287,-9824,3,0,-7,03/03/2022 11:16:48
4695,157,272,-9796,4,-1,-7,03/03/2022 11:16:48
4696,167,287,-9848,4,-1,-7,03/03/2022 11:16:48
4697,157,296,-9810,5,-2,-7,03/03/2022 11:16:48
4698,181,301,-9820,4,0,-7,03/03/2022 11:16:48
4699,148,287,-9820,5,-1,-7,03/03/2022 11:16:48
4700,177,277,-9863,6,-3,-7,03/03/2022 11:16:48
4701,172,282,-9786,6,-1,-7,03/03/2022 11:16:48
4702,148,287,-9786,5,-2,-7,03/03/2022 11:16:48
4703,162,282,-9781,5,-1,-7,03/03/2022 11:16:48
4704,153,291,-9757,5,-1,-7,03/03/2022 11:16:48
4705,162,287,-9805,6,-3,-6,03/03/2022 11:16:48
4706,162,258,-9786,6,-1,-6,03/03/2022 11:16:48
4707,153,291,-9810,5,0,-7,03/03/2022 11:16:48
4708,143,296,-9844,2,-1,-7,03/03/2022 11:16:48
4709,162,311,-9805,5,-1,-7,03/03/2022 11:16:49
4710,172,291,-9810,5,-1,-6,03/03/2022 11:16:49
4711,157,296,-9805,5,-2,-7,03/03/2022 11:16:49
4712,181,291,-9762,5,-1,-7,03/03/2022 11:16:49
4713,186,287,-9786,4,-1,-7,03/03/2022 11:16:49
4714,157,287,-9767,2,-1,-6,03/03/2022 11:16:49
4715,162,291,-9796,3,-1,-7,03/03/2022 11:16:49
4716,157,287,-9829,5,-2,-6,03/03/2022 11:16:49
4717,162,291,-9834,5,-1,-7,03/03/2022 11:16:49
4718,172,291,-9824,6,-1,-7,03/03/2022 11:16:49
4719,157,282,-9815,3,-2,-6,03/03/2022 11:16:49
4720,162,277,-9777,4,0,-7,03/03/2022 11:16:49
4721,181,272,-9820,3,0,-7,03/03/2022 11:16:49
4722,157,277,-9796,5,-1,-7,03/03/2022 11:16:49
4723,143,267,-9753,5,-1,-6,03/03/2022 11:16:49
4724,181,282,-9810,3,-1,-7,03/03/2022 11:16:49
4725,157,267,-9801,4,-1,-6,03/03/2022 11:16:49
4726,167,291,-9777,3,-1,-7,03/03/2022 11:16:49
4727,153,277,-9839,4,-1,-7,03/03/2022 11:16:49
4728,167,287,-9820,4,-3,-7,03/03/2022 11:16:49
4729,172,258,-9820,4,-1,-7,03/03/2022 11:16:50
4730,167,287,-9824,6,-1,-7,03/03/2022 11:16:50
4731,181,277,-9781,6,-1,-7,03/03/2022 11:16:50
4732,148,277,-9777,6,-1,-6,03/03/2022 11:16:50
4733,186,296,-9781,5,-2,-6,03/03/2022 11:16:50
4734,162,277,-9801,2,0,-7,03/03/2022 11:16:50
4735,181,296,-9853,4,-2,-7,03/03/2022 11:16:50
4736,172,267,-9796,4,0,-7,03/03/2022 11:16:50
4737,172,296,-9820,4,-2,-7,03/03/2022 11:16:50
4738,172,287,-9820,2,-1,-7,03/03/2022 11:16:50
4739,157,325,-9820,4,-1,-6,03/03/2022 11:16:50
4740,162,282,-9824,5,-1,-6,03/03/2022 11:16:50
4741,143,306,-9820,4,-2,-7,03/03/2022 11:16:50
4742,167,287,-9772,5,-1,-7,03/03/2022 11:16:50
4743,191,287,-9796,4,0,-7,03/03/2022 11:16:50
4744,167,315,-9820,5,-1,-7,03/03/2022 11:16:50
4745,177,263,-9772,3,0,-7,03/03/2022 11:16:50
4746,177,282,-9834,3,-2,-7,03/03/2022 11:16:50
4747,157,320,-9824,4,-1,-7,03/03/2022 11:16:50
4748,181,301,-9777,3,-1,-7,03/03/2022 11:16:50
4749,172,306,-9872,3,-1,-7,03/03/2022 11:16:50
4750,157,301,-9801,6,-2,-7,03/03/2022 11:16:51
4751,162,282,-9762,6,-1,-7,03/03/2022 11:16:51
4752,162,272,-9839,4,0,-6,03/03/2022 11:16:51
4753,162,301,-9767,5,-1,-7,03/03/2022 11:16:51
4754,177,263,-9805,4,0,-8,03/03/2022 11:16:51
4755,172,267,-9791,4,-1,-6,03/03/2022 11:16:51
4756,119,282,-9796,4,-1,-6,03/03/2022 11:16:51
4757,162,301,-9853,5,-2,-6,03/03/2022 11:16:51
4758,177,296,-9810,4,-1,-6,03/03/2022 11:16:51
4759,200,272,-9805,4,-1,-7,03/03/2022 11:16:51
4760,167,306,-9829,5,-2,-6,03/03/2022 11:16:51
4761,138,267,-9810,5,-2,-7,03/03/2022 11:16:51
4762,172,282,-9777,5,-1,-7,03/03/2022 11:16:51
4763,153,287,-9762,4,0,-6,03/03/2022 11:16:51
4764,172,277,-9791,5,0,-6,03/03/2022 11:16:51
4765,162,287,-9844,6,-1,-6,03/03/2022 11:16:51
4766,172,291,-9829,4,-3,-6,03/03/2022 11:16:51
4767,186,291,-9781,3,0,-6,03/03/2022 11:16:51
4768,167,291,-9834,7,-2,-6,03/03/2022 11:16:51
4769,153,272,-9820,3,0,-7,03/03/2022 11:16:51
4770,181,291,-9810,5,-1,-7,03/03/2022 11:16:52
4771,172,296,-9844,4,-3,-7,03/03/2022 11:16:52
4772,162,282,-9786,4,-2,-6,03/03/2022 11:16:52
4773,153,287,-9781,5,-1,-7,03/03/2022 11:16:52
4774,172,272,-9801,8,-2,-7,03/03/2022 11:16:52
4775,172,291,-9781,4,-1,-7,03/03/2022 11:16:52
4776,177,287,-9853,3,-2,-6,03/03/2022 11:16:52
4777,177,282,-9791,3,-1,-7,03/03/2022 11:16:52
4778,181,248,-9777,5,0,-7,03/03/2022 11:16:52
4779,162,277,-9829,3,-1,-7,03/03/2022 11:16:52
4780,167,306,-9762,3,-1,-7,03/03/2022 11:16:52
4781,162,296,-9796,2,0,-7,03/03/2022 11:16:52
4782,167,287,-9824,3,-1,-6,03/03/2022 11:16:52
4783,196,282,-9786,2,0,-7,03/03/2022 11:16:52
4784,191,306,-9791,5,0,-7,03/03/2022 11:16:52
4785,162,311,-9829,2,0,-7,03/03/2022 11:16:52
4786,172,277,-9786,5,0,-7,03/03/2022 11:16:52
4787,167,282,-9824,6,-1,-7,03/03/2022 11:16:52
4788,172,282,-9815,4,-1,-7,03/03/2022 11:16:52
4789,153,291,-9815,5,-1,-7,03/03/2022 11:16:52
4790,181,296,-9824,6,-2,-7,03/03/2022 11:16:53
